num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
621	2139.222843	33.339198	0.034168	2.625239	4.045696
623	2141.307894	35.732822	0.582188	2.640841	4.673342
625	2143.392231	50.477013	0.651620	2.712854	5.206270
627	2145.478953	41.353419	1.371202	2.687613	5.334631
629	2147.564371	32.103663	-0.130070	2.668652	5.606665
633	2151.732957	39.806358	0.478077	2.615330	6.115282
635	2153.817858	37.770828	-0.096537	2.588590	6.370574
637	2155.901400	40.910824	0.420227	2.617148	6.688586
641	2160.071525	43.218728	0.217259	2.617713	6.896797
643	2162.155184	42.966791	0.442725	2.656377	7.596483
645	2164.238838	45.992449	0.283456	2.616390	7.507075
647	2166.322634	45.165205	0.259354	2.617365	7.735887
653	2172.574164	50.063104	-0.057207	2.587166	8.442094
657	2176.740306	47.475523	0.104769	2.579107	8.840912
659	2178.824086	48.847760	0.415327	2.592488	9.174366
661	2180.906897	50.751867	0.267711	2.623829	9.062657
677	2197.557400	51.039013	0.319703	2.616280	9.417889
679	2199.637961	51.065481	0.252600	2.617489	9.374461
681	2201.717739	50.050687	0.267119	2.618521	9.059172
683	2203.798053	46.712774	0.359754	2.621455	9.203381
685	2205.877713	46.569892	0.286450	2.617580	9.511960
689	2212.100296	29.296081	-0.425334	2.573059	3.444996
691	2214.180648	29.683096	-0.479386	2.565693	3.523728
693	2216.261925	30.189389	-0.335303	2.584162	3.282786
695	2218.342215	30.093778	-0.422087	2.579870	3.485705
697	2220.417919	30.684590	-0.464514	2.568725	3.273896
699	2222.501191	31.821808	-0.705058	2.537044	3.341885
701	2224.585394	32.671641	3.123196	2.622129	4.700470
703	2226.669716	33.584626	-0.212558	2.609866	4.392638
705	2228.756256	34.634131	0.092877	2.612575	4.720967
707	2230.841459	32.746685	-0.551409	2.536268	5.016993
713	2237.095992	38.122311	-0.022171	2.568380	5.410032
715	2239.179955	33.405596	0.814091	2.624339	5.903081
721	2245.432536	37.118306	0.668772	2.557315	6.590348
723	2247.517209	41.359980	0.278002	2.562935	6.817325
725	2249.602099	37.201800	-0.364464	2.561597	6.833832
727	2251.686490	42.729120	-0.440401	2.525678	7.271580
729	2253.770077	40.472260	0.382306	2.570477	7.651096
731	2255.854486	44.167447	0.523449	2.592083	7.950132
733	2257.938713	57.261396	-4.537124	2.618198	7.801810
737	2262.106161	50.677326	-0.054418	2.579373	8.972937
739	2264.188907	44.002568	1.322482	2.625217	8.798352
741	2266.273324	46.097451	-0.324228	2.516221	9.322639
745	2270.440515	50.941806	0.476017	2.556970	9.648977
747	2272.521677	49.470792	0.042207	2.561716	10.054111
749	2274.603043	47.882031	0.034835	2.560000	9.645626
